fdcId,foodDescription,factorIndex,nutrientConversionFactor.type,nutrientConversionFactor.proteinValue,nutrientConversionFactor.fatValue,nutrientConversionFactor.carbohydrateValue,nutrientConversionFactor.value,nutrientConversionFactor.nitrogenValue
2003594,"Cranberry juice, not fortified, from concentrate, shelf stable",0,.CalorieConversionFactor,3.36,8.37,3.92,,
2003594,"Cranberry juice, not fortified, from concentrate, shelf stable",1,.ProteinConversionFactor,,,,6.25,
2003595,"Grapefruit juice, red, not fortified, not from concentrate, refrigerated",0,.CalorieConversionFactor,3.36,8.37,3.92,,
2003595,"Grapefruit juice, red, not fortified, not from concentrate, refrigerated",1,.ProteinConversionFactor,,,,6.25,
2003596,"Tomato juice, with added ingredients, from concentrate, shelf stable",0,.CalorieConversionFactor,2.44,8.37,3.57,,
2003596,"Tomato juice, with added ingredients, from concentrate, shelf stable",1,.ProteinConversionFactor,,,,6.25,
2003597,"Orange juice, no pulp, not fortified, not from concentrate, refrigerated",0,.CalorieConversionFactor,3.36,8.37,3.92,,
2003597,"Orange juice, no pulp, not fortified, not from concentrate, refrigerated",1,.ProteinConversionFactor,,,,6.25,
2003598,"Mushroom, portabella",0,.CalorieConversionFactor,2.62,8.37,3.48,,
2003598,"Mushroom, portabella",1,.ProteinConversionFactor,,,,6.25,
2003599,"Mushroom, king oyster",0,.CalorieConversionFactor,2.62,8.37,3.48,,
2003599,"Mushroom, king oyster",1,.ProteinConversionFactor,,,,6.25,
2003600,"Mushroom, enoki",0,.CalorieConversionFactor,2.62,8.37,3.48,,
2003600,"Mushroom, enoki",1,.ProteinConversionFactor,,,,6.25,
2003601,"Mushroom, crimini",0,.CalorieConversionFactor,2.62,8.37,3.48,,
2003601,"Mushroom, crimini",1,.ProteinConversionFactor,,,,6.25,
2003602,"Mushroom, maitake",0,.CalorieConversionFactor,2.62,8.37,3.48,,
2003602,"Mushroom, maitake",1,.ProteinConversionFactor,,,,6.25,
2003603,"Mushroom, beech",0,.CalorieConversionFactor,2.62,8.37,3.48,,
2003603,"Mushroom, beech",1,.ProteinConversionFactor,,,,6.25,
2003604,"Mushroom, pioppini",0,.CalorieConversionFactor,2.62,8.37,3.48,,
2003604,"Mushroom, pioppini",1,.ProteinConversionFactor,,,,6.25,
